数量,ISBN,非卖,位置,书名,定价,出版社,作者,出版时间,语言,一级分类,二级分类,简介,推荐人,渠道,绝版
1,9.78711E+12,,,评论与被评论：关于中国当代建筑的讨论,68.2,中国建筑工业出版社,青锋,Jul-16,,,,与青锋认识多年，有幸在第一时间阅读到他的书稿并参与到他新近出版的《评论与被评论》的编辑过程中。这本书的素材来源于青锋多年来对国内当代一些知名建筑师的作品与思想进行的深度发掘，之前这些文章散见于国内各大建筑杂志，并成为他所评论的这些建筑师及其作品的注脚之一。但是，鉴于建筑评论文章水准的鱼龙混杂，建筑评论如今愈发面临着尴尬的境地，建筑评论人也经常被忽略与被误解，从而让我们错失了透过这些文字发起追问、拓展认知边界的机会。青锋的文章就是后者之一，结集出版之后值得再读与深思。    青锋自称的“学院式评论”有着深厚的理论背景和发问方式。在他的《虚无时代的评论策略中》，他写道：“在建筑学科的三大核心领域：历史、理论、设计当中，评论的作用都无法替代。比如，在历史研究与教学当中，评论和解释伟大建筑作品的价值与内涵，其重要性不亚于对史实的表述，否则我们甚至无法论证为何这些建筑被选入历史叙述而不是其他。”为何是这些建筑被选入历史叙述而不是其他？我想这既是青锋每一篇评论文章的起源也是他力图指向的远方。   与青锋认识多年，有幸在第一时间阅读到他的书稿并参与到他新近出版的《评论与被评论》的编辑过程中。这本书的素材来源于青锋多年来对国内当代一些知名建筑师的作品与思想进行的深度发掘，之前这些文章散见于国内各大建筑杂志，并成为他所评论的这些建筑师及其作品的注脚之一。但是，鉴于建筑评论文章水准的鱼龙混杂，建筑评论如今愈发面临着尴尬的境地，建筑评论人也经常被忽略与被误解，从而让我们错失了透过这些文字发起追问、拓展认知边界的机会。青锋的文章就是后者之一，结集出版之后值得再读与深思。    青锋自称的“学院式评论”有着深厚的理论背景和发问方式。在他的《虚无时代的评论策略中》，他写道：“在建筑学科的三大核心领域：历史、理论、设计当中，评论的作用都无法替代。比如，在历史研究与教学当中，评论和解释伟大建筑作品的价值与内涵，其重要性不亚于对史实的表述，否则我们甚至无法论证为何这些建筑被选入历史叙述而不是其他。”为何是这些建筑被选入历史叙述而不是其他？我想这既是青锋每一篇评论文章的起源也是他力图指向的远方。   本书另外重要的一部分，是被评论的建筑师本人对评论的回应：黄文菁、陈屹峰、柳亦春、董功、李兴钢、张利等几位建筑师都发表了不同的意见并与青锋的评论文章形成一种张力和碰撞。建筑师们在充分肯定了评论者的同时，有的并不甘心被定义与归类，不愿意被清晰地解剖和“格式化”（黄文菁《理论与实践的碰撞》一文）；有的认为评论过于正面，批判性不足，希望能够听到更为犀利的声音，成为真正的思想交锋（柳亦春《评论的作用》一文），有的则非常诚恳地接受了评论者曾经的疑问，并通过实践给出了进一步深入清楚的思考与行动，以此进行回应（李兴钢《胜景几何、诗意与静谧——与青锋的讨论》一文）。   这本书的设计与装帧也颇耐人寻味，封面朴素低调，书体却非常轻盈、柔软，是一本既可以握卷在手又可以180度平铺展开的线装书。（撰文：易娜，《建筑师》杂志副主编）,,,
1,9.78755E+12,,,剖面手册,88,江苏科学技术出版社,［美］保罗・刘易斯 ［美］马克・鹤卷 ［美］大卫・J.刘易斯 著，凤凰空间 出品,Sep-17,,,,书中通过对剖面的概述，让读者理解剖面的由来、演变、作用和意义等；通过对建筑剖面的分类，让读者们更明确地知晓剖面的功能性体现和直观的设计概念；通过展现近现代建筑大师经典作品的剖面图集，让读者们更充分地领略大师们的设计策略和技巧。 建筑师在建筑设计的过程中或是想细致地了解一座建筑，剖面图就提供了这一途径，没有更好。剖面的综合性特点使其具有举足轻重的地位，本书中介绍的一系列对建筑剖面的系统分类方法，来帮助读者理解建筑的复杂性，也更体现了这种举足轻重的地位。 剖面是空间、形式、材料与人的体验交互的场所，明确地建立了身体与建筑的关系，并反映了建筑和场地环境的相互作用。可以说，建筑剖面是建筑革新的关键。,,,
1,9.78752E+12,,,骑行200年：车轮上的社会史,71.24,社会科学文献出版社,迈克尔·哈钦森,Oct-20,,,,自行车是如何发明的？    它如何成为巴黎人古怪的杂耍表演？\n    维多利亚时代的自行车为什么会掀起一股热潮？\n    骑行如何成为20世纪几百万普通人的运动和消遣？\n    又如何在20世纪60年代的汽车潮中免遭灭绝？\n    21世纪，骑行再次崛起——有点不同，却仍简单而快乐。,,,
2,9.78751E+12,,,岂不怀归：三和青年调查,58,海豚出版社,田丰（著）林凯玄（著）新经典,Jul-20,,,,在深圳龙华三和人力资源市场，生活着一群“三和大神”。他们干一天玩三天，白天四处闲逛，晚上睡大街；吃5块钱一碗的“挂逼面”，喝2块钱一大瓶的水，抽5毛钱一根的散装红双喜，在臭气熏天的网吧里呆到天明。混吃等死，得过且过，挣扎在城市边缘，在生存的极限自我麻痹。他们是城市化浪潮中掉队的人，是被时代遗弃的“零部件”。“留城无望，回村无意”，是他们共同面临的两难困境。,,,
0,9.78711E+12,,,启迪,15,中国建筑工业出版社,西蒙兹（著）王欣（译）,Jan-10,,,,　　《启迪：风景园林大师西蒙兹考察笔记》是一位洞察敏锐的观察者在游历中所得的人生经验的集成。虽然每一件轶事都由简短的几页组成，但都富含深意，让人回味无穷，难以释怀。约翰·奥姆斯比·西蒙兹是举世闻名的风景园林、环境规划领域的教育家、作家和设计大师。他从许许多多的有关建筑、规划及风景园林的讲稿中精心挑选出了这些大放异彩的小文章，这些文章表达了他保护地球的哲学思想。本书编译者与西蒙兹有着很深的友谊，对他非常了解，除了原滋原味地将西蒙兹的这部作品奉献给读者以外，还把与西蒙兹及其思想有关的资料尽可能全面地收录进来，以肆读者。读者们可以在书中跟随大师畅游世界园林风光。在欣赏的同时，还能开阔视野，悟到园林设计的精髓和哲理。读者对象本书适用于园林、风景园林、景观设计、城市规划设计专业的师生，以及相关专业的设计师与研究人员。,,,
2,9.78753E+12,,,枪炮、病菌与钢铁,68,上海译文出版社,贾雷德・戴蒙德,Aug-14,,,,★荣获美国普利策奖、英国科普书奖、洛杉矶时报书奖作品 ★《纽约时报》畅销书排行榜、比尔 盖茨特别推荐作品 ★2000-2009年度日本受欢迎的50本书之首 ★《中国图书商报》评 30年具影响力的300本书 之一 ★入选2015年度当当网年中历史类好书榜 ★入选2014年度百道网中国好书榜Top100,,,
1,9.78751E+12,,,乔伊想当建筑师,39.8,新星出版社,（美）安德里亚・贝蒂 著 （英）大卫・罗伯茨 绘,Sep-16,,,,★《时代》杂志2007年度十佳绘本 ★ 美国父母之选 银奖 ★美国银行街教育学院优秀图书 ★美国作家之友奖、国际阅读协会（IRA）优秀读物 ★美国建筑师协会、《出版人周刊》《学校图书馆》《书单》鼎力推荐！ ★没有什么事比搭建一个梦想更重要！乔伊的故事给孩子以自信，鼓励他们发展自己的兴趣，无论何时都保持对世界的好奇、热爱和探索精神。,,,
1,9.78757E+12,,,倾斜的女孩,99,华中科技大学出版社,[比]冯索瓦・史奇顿、[法]贝涅・彼特,Dec-18,,,,1.一部迷人的 纸上建筑 在《朦胧城市》系列中，几乎每一页画面中都有大量让人叹为观止的建筑物和城市，那些游走于现实与虚幻之间的超现实主义建筑*终成为了该系列的招牌特色。 2.内涵丰富、充满文学隐喻与哲学思辨的故事 《朦胧城市》系列的故事发生在一个被称为 对立世界 的世界观中，那里处于地球的对立面，位于太阳的另一边，所以我们无法看到它。在那个世界中，每座城市都有完全不同的文明形态、建筑风格和城市环境。系列中每一个故事是相互独立的，但在一些细节处，会出现共通的城市和人物。《倾斜的女孩》创作于1996年，它是 朦胧城市 系列中备受读者喜爱的一本，书中的故事将朦胧城市所处的 对立世界 中的人物与故事与现实世界的人物与故事平行叙述，*终两条线索在灵感世界汇聚，现实与幻想交汇在一起，着实让人惊艳,,,
2,9.78721E+12,,,人的境况,68,上海人民出版社,[美] 汉娜・阿伦特 著 王寅丽 译,Apr-17,,,,阿伦特在《人的境况》中提出了很多对当代政治哲学深具启发性的概念和主题，以致她的好友、美国作家玛丽 麦卡锡把《人的境况》比作携带了一个大量概念和洞见之地图的 土地测量员 。的确，这本书在古希腊和现代（1600-1900）两个时期穿梭，勾画出一幅理解 何为政治 以及西方政治思想的充满洞见的地图，为她的众多概念标出了它们在地图上的位置，同时也标出了这幅思想地图的界限以及未知的前景。,,,
1,9.78751E+12,,,藤森照信：人类与建筑的历史,25,中信出版社,,Dec-14,,,,,,,
0,9.78721E+12,,,人人都该懂的工程学,59.9,浙江人民出版社,娜塔莎（著）麦卡锡（著）张焕香（译）宁博（译）徐一丹（译）,Mar-20,,,,什么是工程师？当你想象工程师时，脑海中会出现什么？工程学又是怎样一门学科呢？实际上，工程学涵盖了一系列涉及范围极其广泛的活动。工程师负责汽车、电脑、电话和真空吸尘器等日常用品的设计、生产和维护，也负责航天飞机和肾透析机等非日常用品的设计和生产。他们还负责直观上根本不是物品的事物：公路和铁路系统、输送水电的管道和电线网络、支持移动电话的蜂窝网络，以及每天处理数百万笔金融交易的 IT 系统。从设计某种设备的*小部件到管理整个设计项目，再到监督施工现场和生产线，工程师的工作涉及诸多层面。工程学和工程师遍布我们生活的每个角落。《人人都该懂的工程学》属于湛庐文化重磅推出的“新核心素养”系列图书之一。本系列图书致力于推广通识阅读，扩展读者的阅读面，培养批判性思考的能力。其中涵盖了哲学、心理学、法律、艺术、物理学、生物科技等诸多人文科学和自然科学的知识，其中《人人都该懂的工程学》从工程学以外的视角出发，捕捉工程实践对世界产生的巨大、广泛且包罗万象的影响，了解工程师和工程学在提高人们生活品质方面所起的至关重要的作用。,,,
1,9.78753E+12,,,人文主义地理学：对于意义的个体追寻,45,上海译文出版社,段义孚（著）宋秀葵（译）陈金凤（译）张盼盼（译）,May-20,,,,段义孚认为：“对一个地方生动或逼真的描述，也许就是人文主义地理学的*成就。”,,,
1,9.78711E+12,,,人文主义时代的建筑原理,38,中国建筑工业出版社,鲁道夫·维特科尔（著）刘东洋（译）,Jan-16,,,,　　《人文主义时代的建筑原理（原著第六版）》最初是于1949年作为《瓦尔堡学院研究》第19卷出版的。第二版则是由AlecTiranti有限公司于1952年出版的，该出版社随后于1962年出了修改过的第三版。此版由Academy Editions出版社于1962年再版。1973年，Academy Editions出版社为《人文主义时代的建筑原理（原著第六版）》图片进行了重新标号并将之直接插入正文内，以这样新版式的完整版，发行了《人文主义时代的建筑原理（原著第六版）》的第四版。 这一版本里包含了一些维特科尔教授迄今为止尚未发表过的论比例的讲演稿和文章。这些文本是由他的遗孀慷慨提供给我们的。附录四是我们依据维特科尔不同手稿进行摘录编辑成文的。,,,
1,9.78757E+12,,,人行道王国,79.8,华东师范大学出版社有限公司,米切尔・邓奈尔,Mar-19,,,,《人行道王国》继承了民族志经典著作《街角社会》的“厚描”传统，在《美国大城市的死与生》的田野调查地点，重新花费数年时间巨细无遗地记录了纽约行人道上一帮地摊杂志小贩的日常生活、工作、社交和有限的公众活动，勾勒出“街边社会”的方方面面。为美国社会学界最高奖项米尔斯奖的2006年获奖作品。,,,
1,9.78754E+12,,,认识建筑,198,湖南美术出版社,罗伯特·麦卡特（著）尤哈尼·帕拉斯玛（著）宋明波（译）,May-20,,,,本书是一本为大众读者撰写的建筑入门读物，目的在于为他们提供一种理解和体验建筑的全新的途径。全书根据关键的建筑主题划分为12章，精心挑选包括埃及金字塔和悉尼歌剧院在内的72座代表性建筑，引领读者展开一场仿佛亲身参与的“田野调查”。每章有一篇简短的引言介绍相关概念和背景知识，然后用6个建筑实例详解该主题，搭配精美的建筑照片和带有观赏路线的平面图，为读者带来愉悦的阅读体验和身临其境的在场感。,,,
